ID,label
Black Mountain College,1933 to 1957
Evelyn Anselevicius,weaver
Hazel Larsen Archer,"photographer, artist"
Ruth Asawa,"sculptor, lithographer, textile artist"
Harrison Begay,painter
James Bishop,painter
John Chamberlain,"sculptor, painter, patent inventor, photographer, draftsperson, filmmaker"
Remy Charlip,"choreographer, children's writer, theatrical director, actor, dancer, director, writer, musician, illustrator, author, designer, visual artist"
Robert Creeley,"poet, writer, university teacher"
Fielding Dawson,novelist
Elaine de Kooning,"painter, illustrator, sculptor, architectural draftsperson, printmaker, graphic artist, art critic"
Robert De Niro Sr.,"painter, poet, sculptor, lithographer"
Stephen De Staebler,"sculptor, artist, ceramicist"
Ed Dorn,"poet, university teacher, writer, prose writer"
Robert Duncan,"poet, writer, painter, playwright, essayist, literary critic"
Russell Edson,"novelist, poet"
Viola Farber,"choreographer, pianist, dancer"
Jorge Fick,painter
Max Finstein,poet
Joseph Fiore,painter
John R. P. French,psychologist
Suzi Gablik,"art critic, painter, collagist, art historian, artist"
Lorrie Goulet,"painter, sculptor, artist"
Francine du Plessix Gray,"biographer, novelist, journalist, social critic, writer, literary critic"
Hella Hammid,photographer
Erik Christian Haugaard,"translator, children's writer, writer"
James Leo Herlihy,"novelist, screenwriter, playwright, stage actor"
Elizabeth Jennerjahn,"dancer, artist"
Ati Gropius Johansen,"graphic designer, artist"
Ray Johnson,"painter, illustrator, photographer, collagist, visual artist, performance artist"
Karen Karnes,"painter, artist"
Leslie George Katz,publisher
Basil King,artist
Irwin Kremen,"psychologist, artist, draftsperson"
Jane Mayhall,"writer, poet"
Peter Nemenyi,statistician
Kenneth Noland,"painter, university teacher, printmaker, visual artist"
Joel Oppenheimer,poet
Arthur Penn,"film director, film producer, screenwriter, theatrical director, television producer, director"
Charles Perrow,"sociologist, university teacher, organizational theorist"
Clara Porset,"interior designer, designer, architect"
Joan Potter Loveless,"weaver, artist"
V. V. Rankine,"painter, sculptor"
Robert Rauschenberg,"photographer, painter, sculptor, choreographer, printmaker, designer, performance artist, graphic artist, collagist, assemblage artist, architectural draftsperson, jewelry designer, visual artist, artist, scenographer"
Dorothea Rockburne,"painter, draftsperson, artist"
Michael Rumaker,writer
Harry Seidler,"architect, university teacher"
Oli Sihvonen,"painter, draftsperson"
Sewell Sillman,"artist, draftsperson, colorist, professor, publisher"
Kenneth Snelson,"sculptor, architect, photographer"
Raymond P. Spillenger,painter
Deborah Sussman,"graphic designer, designer, artist"
Cy Twombly,"painter, sculptor, photographer, draftsperson, printmaker, architectural draftsperson, visual artist, artist"
Stan VanDerBeek,"filmmaker, inventor, animator, television producer, director, artist, video artist"
Cora Kelley Ward,"painter, artist"
Mary Parks Washington,"painter, illustrator, teacher"
David Jacques Way,musical instrument maker
Susan Weil,"painter, artist"
John Wieners,"poet, writer"
Alma Stone Williams,musician
Benjamin Forrest Williams,"painter, curator"
Jonathan Williams,"photographer, poet, essayist, publisher, artist"
Vera Williams,"writer, illustrator, university teacher, children's writer, artist"
Claire Zeisler,"artist, designer, textile artist"
Harriet Sohmers Zwerling,"translator, journalist, model"
Anni Albers,"designer, university teacher, textile artist, lithographer, textile designer, jewelry designer, painter, author, educator"
Josef Albers,"painter, university teacher, photographer, designer, printmaker, sculptor, glass artist, educator, artist"
Leo Amino,"sculptor, designer, draftsperson"
Hazel Larsen Archer,"photographer, artist"
Robert Shillingford Babcock,politician
Seymour Barab,"composer, cellist"
Eric Bentley,"playwright, university teacher, translator, theatre critic, writer, singer, journalist, film screenwriter, television writer"
Ilya Bolotowsky,"painter, draftsperson"
Josef Breitenbach,"photographer, artist"
Carol Brice,opera singer
Will Burtin,"designer, graphic designer, university teacher"
John Cage,"composer, writer, poet, university teacher, musicologist, philosopher, painter, music theorist, illustrator, draftsperson, mycologist, visual artist, author, graphic artist, conceptual artist, musician"
Mary Callery,"artist, printmaker, sculptor, art dealer"
Frederic Cohen,"composer, university teacher, conductor"
Merce Cunningham,"ballet dancer, choreographer, author, draftsperson, dancer"
Victor D'Amico,"teaching artist, educator"
Edward Dahlberg,"novelist, writer, university teacher, prose writer, essayist"
Willem de Kooning,"painter, sculptor, university teacher, designer, draftsperson, printmaker, painter and varnisher, teacher"
Max Dehn,"mathematician, historian of mathematics, topologist, university teacher"
Mark Fax,"composer, music educator"
Lyonel Feininger,"painter, artist, photographer, illustrator, comics artist, teacher, graphic artist, draftsperson, caricaturist, composer"
Joseph Fiore,painter
Buckminster Fuller,"architect, inventor, writer, diarist, university teacher, scientist, poet, artist, visual artist, engineer, philosopher, designer, mathematician"
Paul Goodman,"writer, poet, psychotherapist, novelist, sociologist, literary critic, LGBTQ rights activist, political scientist, philosopher, pedagogue, university teacher"
Mary Molly Gregory,artist
Walter Gropius,"architect, pedagogue, urban planner, designer, teacher"
Trude Guermonprez,"textile artist, textile designer, weaver, university teacher"
Fritz Johann Hansgirg,chemist
Lou Harrison,"composer, Esperantist, music critic, journalist, professor"
Roland Hayes,"composer, opera singer"
Fannie Hillsmith,"painter, printmaker, artist"
Heinrich Jalowetz,"composer, conductor, musicologist"
Karen Karnes,"painter, artist"
Franz Kline,"painter, artist, university teacher, draftsperson"
A. Lawrence Kocher,"architect, designer, editor, university teacher"
Jacob Lawrence,"painter, draftsperson, printmaker, illustrator"
Paul Leser,"agrarian historian, university teacher"
Albert William Levi,"philosopher, university teacher, writer"
Leo Lionni,"writer, graphic designer, illustrator, painter, children's writer, designer"
Herbert Adolphus Miller,"sociologist, university teacher"
